Sample ID,KRN,Population,USDA PI accession#,Note
XBSA_4H11,9,USDA Extreme KRN accessions,PI213800,Low KRN
XBSA_4H12,8,USDA Extreme KRN accessions,PI213802,Low KRN
XBSA_5A1,9,USDA Extreme KRN accessions,PI213806,Low KRN
XBSA_5A2,9,USDA Extreme KRN accessions,PI213807,Low KRN
XBSA_5A3,9,USDA Extreme KRN accessions,PI213808,Low KRN
XBSA_5B1,9,USDA Extreme KRN accessions,PI213809,Low KRN
XBSA_5B2,8,USDA Extreme KRN accessions,PI213811,Low KRN
XBSA_1E12,18,USDA Extreme KRN accessions,PI214186,High KRN
XBSA_5B3,9,USDA Extreme KRN accessions,PI214187,Low KRN
XBSA_5B4,9,USDA Extreme KRN accessions,PI214194,Low KRN
XBSA_5C1,9,USDA Extreme KRN accessions,PI214195,Low KRN
XBSA_6C8,10,USDA Extreme KRN accessions,PI214200,Random KRN
XBSA_4B3,7,USDA Extreme KRN accessions,PI214201,Low KRN
XBSA_4B4,6,USDA Extreme KRN accessions,PI214203,Low KRN
XBSA_4C1,8,USDA Extreme KRN accessions,PI214279,Low KRN
XBSA_6C7,18,USDA Extreme KRN accessions,PI214288,Random KRN
XBSA_1F9,19,USDA Extreme KRN accessions,PI214290,High KRN
XBSA_1F10,19,USDA Extreme KRN accessions,PI214294,High KRN
XBSA_1C1,22,USDA Extreme KRN accessions,PI217406,High KRN
XBSA_5C2,8,USDA Extreme KRN accessions,PI217408,Low KRN
XBSA_4C2,7,USDA Extreme KRN accessions,PI217411,Low KRN
XBSA_5C3,9,USDA Extreme KRN accessions,PI217460,Low KRN
XBSA_5C4,9,USDA Extreme KRN accessions,PI217462,Low KRN
XBSA_5D1,9,USDA Extreme KRN accessions,PI217470,Low KRN
XBSA_5D2,9,USDA Extreme KRN accessions,PI217483,Low KRN
XBSA_6C6,10,USDA Extreme KRN accessions,PI217484,Random KRN
XBSA_5D3,9,USDA Extreme KRN accessions,PI217487,Low KRN
XBSA_5D4,9,USDA Extreme KRN accessions,PI217488,Low KRN
XBSA_6C5,12,USDA Extreme KRN accessions,PI218039,Random KRN
XBSA_1F11,20,USDA Extreme KRN accessions,PI218133,High KRN
XBSA_6B8,13,USDA Extreme KRN accessions,PI218156,Random KRN
XBSA_1F12,19,USDA Extreme KRN accessions,PI218158,High KRN
XBSA_1G9,18,USDA Extreme KRN accessions,PI218184,High KRN
XBSA_5E1,9,USDA Extreme KRN accessions,PI219880,Low KRN
XBSA_5E2,9,USDA Extreme KRN accessions,PI221737,Low KRN
XBSA_5E3,9,USDA Extreme KRN accessions,PI221738,Low KRN
XBSA_4C3,6,USDA Extreme KRN accessions,PI221739,Low KRN
XBSA_5E4,9,USDA Extreme KRN accessions,PI221741,Low KRN
XBSA_4C4,8,USDA Extreme KRN accessions,PI221747,Low KRN
XBSA_5F1,9,USDA Extreme KRN accessions,PI221794,Low KRN
XBSA_6B7,12,USDA Extreme KRN accessions,PI221822,Random KRN
XBSA_5F2,7,USDA Extreme KRN accessions,PI221829,Low KRN
XBSA_5F3,8,USDA Extreme KRN accessions,PI221830,Low KRN
XBSA_4D1,8,USDA Extreme KRN accessions,PI221831,Low KRN
XBSA_5F4,9,USDA Extreme KRN accessions,PI221833,Low KRN
XBSA_1G10,23,USDA Extreme KRN accessions,PI221834,High KRN
XBSA_6B6,10,USDA Extreme KRN accessions,PI221836,Random KRN
XBSA_1G11,21,USDA Extreme KRN accessions,PI221867,High KRN
XBSA_7C5,13,USDA Extreme KRN accessions,PI221872,Random KRN
XBSA_1G12,21,USDA Extreme KRN accessions,PI221885,High KRN
XBSA_1H10,19,USDA Extreme KRN accessions,PI221888,High KRN
XBSA_1H11,18,USDA Extreme KRN accessions,PI227398,High KRN
XBSA_5G1,9,USDA Extreme KRN accessions,PI227937,Low KRN
XBSA_5G2,9,USDA Extreme KRN accessions,PI228178,Low KRN
XBSA_1H12,18,USDA Extreme KRN accessions,PI232962,High KRN
XBSA_4D2,8,USDA Extreme KRN accessions,PI232963,Low KRN
XBSA_2A1,18,USDA Extreme KRN accessions,PI232966,High KRN
XBSA_7B8,13,USDA Extreme KRN accessions,PI232970,Random KRN
XBSA_2A2,19,USDA Extreme KRN accessions,PI233002,High KRN
XBSA_5G3,9,USDA Extreme KRN accessions,PI233316,Low KRN
XBSA_5G4,9,USDA Extreme KRN accessions,PI233317,Low KRN
XBSA_5H1,9,USDA Extreme KRN accessions,PI233318,Low KRN
XBSA_5H2,9,USDA Extreme KRN accessions,PI239101,Low KRN
XBSA_5H3,9,USDA Extreme KRN accessions,PI239104,Low KRN
XBSA_2A3,18,USDA Extreme KRN accessions,PI239107,High KRN
XBSA_5H4,9,USDA Extreme KRN accessions,PI239113,Low KRN
XBSA_2A4,18,USDA Extreme KRN accessions,PI240318,High KRN
XBSA_2B1,19,USDA Extreme KRN accessions,PI240328,High KRN
XBSA_5A5,9,USDA Extreme KRN accessions,PI245130,Low KRN
XBSA_2B2,18,USDA Extreme KRN accessions,PI250907,High KRN
XBSA_2B3,18,USDA Extreme KRN accessions,PI251646,High KRN
XBSA_2B4,18,USDA Extreme KRN accessions,PI251647,High KRN
XBSA_7B7,16,USDA Extreme KRN accessions,PI251649,Random KRN
XBSA_7B6,16,USDA Extreme KRN accessions,PI251657,Random KRN
XBSA_5A6,9,USDA Extreme KRN accessions,PI253811,Low KRN
XBSA_5A7,9,USDA Extreme KRN accessions,PI254855,Low KRN
XBSA_5A8,9,USDA Extreme KRN accessions,PI255975,Low KRN
XBSA_5B5,9,USDA Extreme KRN accessions,PI255979,Low KRN
XBSA_5B6,9,USDA Extreme KRN accessions,PI255985,Low KRN
XBSA_2C1,18,USDA Extreme KRN accessions,PI257517,High KRN
XBSA_7B5,12,USDA Extreme KRN accessions,PI257623,Random KRN
XBSA_5B7,9,USDA Extreme KRN accessions,PI262475,Low KRN
XBSA_5B8,9,USDA Extreme KRN accessions,PI262482,Low KRN
XBSA_7A8,13,USDA Extreme KRN accessions,PI262493,Random KRN
XBSA_2C2,18,USDA Extreme KRN accessions,PI262498,High KRN
XBSA_5C5,9,USDA Extreme KRN accessions,PI267156,Low KRN
XBSA_2C3,21,USDA Extreme KRN accessions,PI267174,High KRN
XBSA_2C4,20,USDA Extreme KRN accessions,PI267178,High KRN
XBSA_5C6,9,USDA Extreme KRN accessions,PI267208,Low KRN
XBSA_5C7,9,USDA Extreme KRN accessions,PI267214,Low KRN
XBSA_5C8,9,USDA Extreme KRN accessions,PI267217,Low KRN
XBSA_2D1,19,USDA Extreme KRN accessions,PI267223,High KRN
XBSA_7A7,14,USDA Extreme KRN accessions,PI270078,Random KRN
XBSA_5D5,9,USDA Extreme KRN accessions,PI270080,Low KRN
XBSA_2D2,18,USDA Extreme KRN accessions,PI275832,High KRN
XBSA_2D3,21,USDA Extreme KRN accessions,PI278712,High KRN
XBSA_2D4,19,USDA Extreme KRN accessions,PI278719,High KRN
XBSA_2E1,19,USDA Extreme KRN accessions,PI279016,High KRN
XBSA_5D6,9,USDA Extreme KRN accessions,PI279017,Low KRN
XBSA_5D7,9,USDA Extreme KRN accessions,PI279019,Low KRN
XBSA_7A6,11,USDA Extreme KRN accessions,PI279025,Random KRN
XBSA_5D8,9,USDA Extreme KRN accessions,PI279031,Low KRN
XBSA_5E5,9,USDA Extreme KRN accessions,PI291391,Low KRN
XBSA_4D3,8,USDA Extreme KRN accessions,PI296724,Low KRN
XBSA_5E6,9,USDA Extreme KRN accessions,PI298527,Low KRN
XBSA_2E2,20,USDA Extreme KRN accessions,PI303849,High KRN
XBSA_1C2,27,USDA Extreme KRN accessions,PI303852,High KRN
XBSA_7A5,14,USDA Extreme KRN accessions,PI303856,Random KRN
XBSA_2E3,18,USDA Extreme KRN accessions,PI303859,High KRN
XBSA_5E7,9,USDA Extreme KRN accessions,PI303871,Low KRN
XBSA_5E8,9,USDA Extreme KRN accessions,PI303880,Low KRN
XBSA_5F5,9,USDA Extreme KRN accessions,PI303891,Low KRN
XBSA_5F6,9,USDA Extreme KRN accessions,PI303896,Low KRN
XBSA_5F7,9,USDA Extreme KRN accessions,PI303897,Low KRN
XBSA_7H4,11,USDA Extreme KRN accessions,PI303906,Random KRN
XBSA_5F8,9,USDA Extreme KRN accessions,PI303908,Low KRN
XBSA_5G5,9,USDA Extreme KRN accessions,PI303918,Low KRN
XBSA_2E4,20,USDA Extreme KRN accessions,PI303929,High KRN
XBSA_5G6,9,USDA Extreme KRN accessions,PI311237,Low KRN
XBSA_5G7,9,USDA Extreme KRN accessions,PI311249,Low KRN
XBSA_2F1,24,USDA Extreme KRN accessions,PI311251,High KRN
XBSA_1C3,30,USDA Extreme KRN accessions,PI311252,High KRN
XBSA_2F2,19,USDA Extreme KRN accessions,PI311253,High KRN
XBSA_5G8,9,USDA Extreme KRN accessions,PI317675,Low KRN
XBSA_5H5,8,USDA Extreme KRN accessions,PI317681,Low KRN
XBSA_2F3,25,USDA Extreme KRN accessions,PI317683,High KRN
XBSA_1C4,28,USDA Extreme KRN accessions,PI317684,High KRN
XBSA_5H6,9,USDA Extreme KRN accessions,PI321108,Low KRN
XBSA_7H3,12,USDA Extreme KRN accessions,PI321110,Random KRN
XBSA_5H7,9,USDA Extreme KRN accessions,PI321111,Low KRN
XBSA_5H8,9,USDA Extreme KRN accessions,PI340818,Low KRN
XBSA_5A9,9,USDA Extreme KRN accessions,PI340828,Low KRN
XBSA_1D1,26,USDA Extreme KRN accessions,PI340840,High KRN
XBSA_7H2,13,USDA Extreme KRN accessions,PI340857,Random KRN
XBSA_2F4,18,USDA Extreme KRN accessions,PI340875,High KRN
XBSA_5A10,9,USDA Extreme KRN accessions,PI343178,Low KRN
XBSA_5A11,9,USDA Extreme KRN accessions,PI344757,Low KRN
XBSA_7H1,12,USDA Extreme KRN accessions,PI355023,Random KRN
XBSA_7G4,14,USDA Extreme KRN accessions,PI357102,Random KRN
XBSA_5A12,9,USDA Extreme KRN accessions,PI358283,Low KRN
XBSA_7G3,15,USDA Extreme KRN accessions,PI358527,Random KRN
XBSA_7G2,14,USDA Extreme KRN accessions,PI358528,Random KRN
XBSA_2G1,18,USDA Extreme KRN accessions,PI358546,High KRN
XBSA_5B9,9,USDA Extreme KRN accessions,PI358553,Low KRN
XBSA_5B10,9,USDA Extreme KRN accessions,PI358555,Low KRN
XBSA_2G2,18,USDA Extreme KRN accessions,PI358577,High KRN
XBSA_5B11,9,USDA Extreme KRN accessions,PI358581,Low KRN
XBSA_5B12,8,USDA Extreme KRN accessions,PI358585,Low KRN
XBSA_5C9,9,USDA Extreme KRN accessions,PI358586,Low KRN
XBSA_2G3,18,USDA Extreme KRN accessions,PI368836,High KRN
XBSA_2G4,19,USDA Extreme KRN accessions,PI368838,High KRN
XBSA_5C10,9,USDA Extreme KRN accessions,PI372157,Low KRN
XBSA_5C11,9,USDA Extreme KRN accessions,PI372163,Low KRN
XBSA_5C12,8,USDA Extreme KRN accessions,PI390842,Low KRN
XBSA_2H2,19,USDA Extreme KRN accessions,PI391413,High KRN
XBSA_2H3,20,USDA Extreme KRN accessions,PI391669,High KRN
XBSA_7G1,13,USDA Extreme KRN accessions,PI393705,Random KRN
XBSA_5D9,9,USDA Extreme KRN accessions,PI393732,Low KRN
XBSA_5D10,9,USDA Extreme KRN accessions,PI393744,Low KRN
XBSA_2H4,18,USDA Extreme KRN accessions,PI393753,High KRN
XBSA_5D11,9,USDA Extreme KRN accessions,PI393762,Low KRN
XBSA_5D12,9,USDA Extreme KRN accessions,PI393774,Low KRN
XBSA_5E9,9,USDA Extreme KRN accessions,PI393778,Low KRN
XBSA_5E10,8,USDA Extreme KRN accessions,PI401754,Low KRN
XBSA_4D4,6,USDA Extreme KRN accessions,PI401757,Low KRN
XBSA_2A5,19,USDA Extreme KRN accessions,PI401763,High KRN
XBSA_2A6,18,USDA Extreme KRN accessions,PI406114,High KRN
XBSA_5E11,9,USDA Extreme KRN accessions,PI406190,Low KRN
XBSA_2A7,19,USDA Extreme KRN accessions,PI406198,High KRN
XBSA_5E12,8,USDA Extreme KRN accessions,PI406201,Low KRN
XBSA_7F4,13,USDA Extreme KRN accessions,PI406202,Random KRN
XBSA_7F3,9,USDA Extreme KRN accessions,PI406208,Random KRN
XBSA_2A8,19,USDA Extreme KRN accessions,PI406225,High KRN
XBSA_5F9,9,USDA Extreme KRN accessions,PI415261,Low KRN
XBSA_5F10,9,USDA Extreme KRN accessions,PI415269,Low KRN
XBSA_1D2,22,USDA Extreme KRN accessions,PI420051,High KRN
XBSA_1D3,13,USDA Extreme KRN accessions,PI420244,High KRN
XBSA_5F11,8,USDA Extreme KRN accessions,PI433487,Low KRN
XBSA_5F12,9,USDA Extreme KRN accessions,PI433678,Low KRN
XBSA_7F2,14,USDA Extreme KRN accessions,PI443770,Random KRN
XBSA_7F1,13,USDA Extreme KRN accessions,PI443992,Random KRN
XBSA_7E4,15,USDA Extreme KRN accessions,PI444036,Random KRN
XBSA_7E3,11,USDA Extreme KRN accessions,PI444117,Random KRN
XBSA_7E2,14,USDA Extreme KRN accessions,PI445142,Random KRN
XBSA_7E1,11,USDA Extreme KRN accessions,PI445339,Random KRN
XBSA_7D4,12,USDA Extreme KRN accessions,PI445401,Random KRN
XBSA_7D3,12,USDA Extreme KRN accessions,PI445422,Random KRN
XBSA_7D2,12,USDA Extreme KRN accessions,PI445614,Random KRN
XBSA_2B5,20,USDA Extreme KRN accessions,PI452044,High KRN
XBSA_5G9,9,USDA Extreme KRN accessions,PI452051,Low KRN
XBSA_5G10,9,USDA Extreme KRN accessions,PI452052,Low KRN
XBSA_2B6,21,USDA Extreme KRN accessions,PI452058,High KRN
XBSA_7D1,16,USDA Extreme KRN accessions,PI467137,Random KRN
XBSA_2B7,21,USDA Extreme KRN accessions,PI467153,High KRN
XBSA_1D4,22,USDA Extreme KRN accessions,PI467169,High KRN
XBSA_1E1,24,USDA Extreme KRN accessions,PI467174,High KRN
XBSA_1E2,27,USDA Extreme KRN accessions,PI467178,High KRN
XBSA_2B8,21,USDA Extreme KRN accessions,PI467184,High KRN
XBSA_2C5,21,USDA Extreme KRN accessions,PI467186,High KRN
XBSA_2C6,19,USDA Extreme KRN accessions,PI467215,High KRN
XBSA_7C4,16,USDA Extreme KRN accessions,PI467218,Random KRN
XBSA_2C7,20,USDA Extreme KRN accessions,PI467245,High KRN
XBSA_2C8,23,USDA Extreme KRN accessions,PI467296,High KRN
XBSA_5G11,8,USDA Extreme KRN accessions,PI472021,Low KRN
XBSA_5G12,9,USDA Extreme KRN accessions,PI477512,Low KRN
XBSA_7C3,15,USDA Extreme KRN accessions,PI477567,Random KRN
XBSA_7C2,12,USDA Extreme KRN accessions,PI477583,Random KRN
XBSA_7C1,13,USDA Extreme KRN accessions,PI477595,Random KRN
XBSA_7C10,13,USDA Extreme KRN accessions,PI477606,Random KRN
XBSA_7C9,13,USDA Extreme KRN accessions,PI477644,Random KRN
XBSA_7B12,12,USDA Extreme KRN accessions,PI477712,Random KRN
XBSA_7B11,10,USDA Extreme KRN accessions,PI479118,Random KRN
XBSA_5H9,9,USDA Extreme KRN accessions,PI483087,Low KRN
XBSA_5H10,9,USDA Extreme KRN accessions,PI483088,Low KRN
XBSA_5H11,9,USDA Extreme KRN accessions,PI483560,Low KRN
XBSA_2D5,20,USDA Extreme KRN accessions,PI483654,High KRN
XBSA_2D6,18,USDA Extreme KRN accessions,PI483785,High KRN
XBSA_5H12,9,USDA Extreme KRN accessions,PI484704,Low KRN
XBSA_3A6,9,USDA Extreme KRN accessions,PI484718,Low KRN
XBSA_3B6,9,USDA Extreme KRN accessions,PI485336,Low KRN
XBSA_3C6,8,USDA Extreme KRN accessions,PI485353,Low KRN
XBSA_2D7,19,USDA Extreme KRN accessions,PI485612,High KRN
XBSA_3D6,9,USDA Extreme KRN accessions,PI487681,Low KRN
XBSA_2D8,22,USDA Extreme KRN accessions,PI487903,High KRN
XBSA_3E6,9,USDA Extreme KRN accessions,PI488696,Low KRN
XBSA_1E3,25,USDA Extreme KRN accessions,PI490820,High KRN
XBSA_7B10,11,USDA Extreme KRN accessions,PI490840,Random KRN
XBSA_7B9,12,USDA Extreme KRN accessions,PI492753,Random KRN
XBSA_3F6,9,USDA Extreme KRN accessions,PI492888,Low KRN
XBSA_4E1,7,USDA Extreme KRN accessions,PI492896,Low KRN
XBSA_7A12,11,USDA Extreme KRN accessions,PI492953,Random KRN
XBSA_3G6,9,USDA Extreme KRN accessions,PI492960,Low KRN
XBSA_3H6,9,USDA Extreme KRN accessions,PI494930,Low KRN
XBSA_3A7,9,USDA Extreme KRN accessions,PI494931,Low KRN
XBSA_3B7,9,USDA Extreme KRN accessions,PI494935,Low KRN
XBSA_7A11,10,USDA Extreme KRN accessions,PI494945,Random KRN
XBSA_3C7,8,USDA Extreme KRN accessions,PI494951,Low KRN
XBSA_7A10,9,USDA Extreme KRN accessions,PI494984,Random KRN
XBSA_7A9,12,USDA Extreme KRN accessions,PI498559,Random KRN
XBSA_7H8,13,USDA Extreme KRN accessions,PI498574,Random KRN
XBSA_7H7,10,USDA Extreme KRN accessions,PI498578,Random KRN
XBSA_2E5,19,USDA Extreme KRN accessions,PI498719,High KRN
XBSA_3D7,7,USDA Extreme KRN accessions,PI501190,Low KRN
XBSA_7H6,9,USDA Extreme KRN accessions,PI501192,Random KRN
XBSA_2E6,18,USDA Extreme KRN accessions,PI503367,High KRN
XBSA_7H5,13,USDA Extreme KRN accessions,PI503392,Random KRN
XBSA_7G8,9,USDA Extreme KRN accessions,PI503477,Random KRN
XBSA_1E4,23,USDA Extreme KRN accessions,PI503886,High KRN
XBSA_7G7,17,USDA Extreme KRN accessions,PI505502,Random KRN
XBSA_3E7,8,USDA Extreme KRN accessions,PI506133,Low KRN
XBSA_7G6,14,USDA Extreme KRN accessions,PI506147,Random KRN
XBSA_2E7,18,USDA Extreme KRN accessions,PI506153,High KRN
XBSA_7G5,14,USDA Extreme KRN accessions,PI506182,Random KRN
XBSA_2E8,18,USDA Extreme KRN accessions,PI506185,High KRN
XBSA_7F8,14,USDA Extreme KRN accessions,PI506212,Random KRN
XBSA_2F5,18,USDA Extreme KRN accessions,PI511309,High KRN
XBSA_7F7,14,USDA Extreme KRN accessions,PI511445,Random KRN
XBSA_7F6,14,USDA Extreme KRN accessions,PI511457,Random KRN
XBSA_7F5,14,USDA Extreme KRN accessions,PI511467,Random KRN
XBSA_2F6,18,USDA Extreme KRN accessions,PI511512,High KRN
XBSA_2F7,20,USDA Extreme KRN accessions,PI511519,High KRN
XBSA_2F8,21,USDA Extreme KRN accessions,PI511558,High KRN
XBSA_2G5,19,USDA Extreme KRN accessions,PI511571,High KRN
XBSA_7E8,10,USDA Extreme KRN accessions,PI511613,Random KRN
XBSA_2G6,19,USDA Extreme KRN accessions,PI511672,High KRN
XBSA_7E7,11,USDA Extreme KRN accessions,PI514720,Random KRN
XBSA_2G7,18,USDA Extreme KRN accessions,PI517973,High KRN
XBSA_7E6,15,USDA Extreme KRN accessions,PI520635,Random KRN
XBSA_2G8,18,USDA Extreme KRN accessions,PI520696,High KRN
XBSA_7E5,13,USDA Extreme KRN accessions,PI522260,Random KRN
XBSA_7D8,16,USDA Extreme KRN accessions,PI531459,Random KRN
XBSA_4E2,8,USDA Extreme KRN accessions,PI531481,Low KRN
XBSA_4E3,8,USDA Extreme KRN accessions,PI531484,Low KRN
XBSA_3F7,8,USDA Extreme KRN accessions,PI531497,Low KRN
XBSA_7D7,13,USDA Extreme KRN accessions,PI532314,Random KRN
XBSA_1F1,17,USDA Extreme KRN accessions,PI532766,High KRN
XBSA_2H5,18,USDA Extreme KRN accessions,PI532784,High KRN
XBSA_7D6,12,USDA Extreme KRN accessions,PI533659,Random KRN
XBSA_2H6,21,USDA Extreme KRN accessions,PI535914,High KRN
XBSA_7D5,10,USDA Extreme KRN accessions,PI538007,Random KRN
XBSA_2H7,18,USDA Extreme KRN accessions,PI538009,High KRN
XBSA_2H8,18,USDA Extreme KRN accessions,PI539869,High KRN
XBSA_7C8,11,USDA Extreme KRN accessions,PI539870,Random KRN
XBSA_2A9,18,USDA Extreme KRN accessions,PI539930,High KRN
XBSA_7C7,12,USDA Extreme KRN accessions,PI542683,Random KRN
XBSA_7C6,16,USDA Extreme KRN accessions,PI542948,Random KRN
XBSA_2A10,19,USDA Extreme KRN accessions,PI542957,High KRN
XBSA_6E10,16,USDA Extreme KRN accessions,PI542959,Random KRN
XBSA_2A11,19,USDA Extreme KRN accessions,PI550445,High KRN
XBSA_2B9,18,USDA Extreme KRN accessions,PI550457,High KRN
XBSA_6D10,14,USDA Extreme KRN accessions,PI550458,Random KRN
XBSA_6C10,15,USDA Extreme KRN accessions,PI550459,Random KRN
XBSA_2B10,18.5,USDA Extreme KRN accessions,PI550468,High KRN
XBSA_2B11,18,USDA Extreme KRN accessions,PI550478,High KRN
XBSA_2B12,18,USDA Extreme KRN accessions,PI550481,High KRN
XBSA_2C9,19,USDA Extreme KRN accessions,PI550505,High KRN
XBSA_2C10,20,USDA Extreme KRN accessions,PI550515,High KRN
XBSA_1F2,18,USDA Extreme KRN accessions,PI550567,High KRN
XBSA_1F3,18,USDA Extreme KRN accessions,PI550568,High KRN
XBSA_3G7,8,USDA Extreme KRN accessions,PI550573,Low KRN
XBSA_3H7,8,USDA Extreme KRN accessions,PI553054,Low KRN
XBSA_2C11,18,USDA Extreme KRN accessions,PI557562,High KRN
XBSA_2C12,18,USDA Extreme KRN accessions,PI561603,High KRN
XBSA_6B10,14,USDA Extreme KRN accessions,PI566665,Random KRN
XBSA_6A10,9,USDA Extreme KRN accessions,PI571749,Random KRN
XBSA_6H9,15,USDA Extreme KRN accessions,PI572001,Random KRN
XBSA_2D9,24,USDA Extreme KRN accessions,PI572224,High KRN
XBSA_6G9,14,USDA Extreme KRN accessions,PI586691,Random KRN
XBSA_6F9,21,USDA Extreme KRN accessions,PI586721,Random KRN
XBSA_1F4,26,USDA Extreme KRN accessions,PI586722,High KRN
XBSA_1G1,23,USDA Extreme KRN accessions,PI586723,High KRN
XBSA_2D10,18,USDA Extreme KRN accessions,PI586724,High KRN
XBSA_1G2,23,USDA Extreme KRN accessions,PI586725,High KRN
XBSA_2D11,21,USDA Extreme KRN accessions,PI586727,High KRN
XBSA_2D12,24,USDA Extreme KRN accessions,PI586729,High KRN
XBSA_2E9,22,USDA Extreme KRN accessions,PI586746,High KRN
XBSA_6E9,18,USDA Extreme KRN accessions,PI586747,Random KRN
XBSA_2E10,21,USDA Extreme KRN accessions,PI586749,High KRN
XBSA_6D9,11,USDA Extreme KRN accessions,PI587143,Random KRN
XBSA_3A8,8,USDA Extreme KRN accessions,PI587154,Low KRN
XBSA_6C9,17,USDA Extreme KRN accessions,PI592734,Random KRN
XBSA_6B9,13,USDA Extreme KRN accessions,PI593012,Random KRN
XBSA_6A9,14,USDA Extreme KRN accessions,PI594045,Random KRN
XBSA_2E11,19,USDA Extreme KRN accessions,PI594052,High KRN
XBSA_2E12,20,USDA Extreme KRN accessions,PI594053,High KRN
XBSA_2F9,18,USDA Extreme KRN accessions,PI594054,High KRN
XBSA_2F10,20,USDA Extreme KRN accessions,PI594057,High KRN
XBSA_2F11,20,USDA Extreme KRN accessions,PI594060,High KRN
XBSA_7H12,14,USDA Extreme KRN accessions,PI594062,Random KRN
XBSA_7H11,18,USDA Extreme KRN accessions,PI594064,Random KRN
XBSA_2F12,19,USDA Extreme KRN accessions,PI594074,High KRN
XBSA_2G9,21,USDA Extreme KRN accessions,PI594075,High KRN
XBSA_2G10,20,USDA Extreme KRN accessions,PI594076,High KRN
XBSA_2G11,20,USDA Extreme KRN accessions,PI595366,High KRN
XBSA_7H10,10,USDA Extreme KRN accessions,PI595563,Random KRN
XBSA_7H9,14,USDA Extreme KRN accessions,PI595567,Random KRN
XBSA_7G12,12,USDA Extreme KRN accessions,PI597925,Random KRN
XBSA_7G11,14,USDA Extreme KRN accessions,PI600981,Random KRN
XBSA_1G3,22,USDA Extreme KRN accessions,PI601170,High KRN
XBSA_2G12,19,USDA Extreme KRN accessions,PI601191,High KRN
XBSA_2H9,18,USDA Extreme KRN accessions,PI601230,High KRN
XBSA_2H10,18,USDA Extreme KRN accessions,PI601323,High KRN
XBSA_7G10,13,USDA Extreme KRN accessions,PI601361,Random KRN
XBSA_2H11,18,USDA Extreme KRN accessions,PI601378,High KRN
XBSA_7G9,12,USDA Extreme KRN accessions,PI601439,Random KRN
XBSA_3A1,19,USDA Extreme KRN accessions,PI601440,High KRN
XBSA_3A2,18,USDA Extreme KRN accessions,PI601441,High KRN
XBSA_3A3,18,USDA Extreme KRN accessions,PI601469,High KRN
XBSA_3A4,18,USDA Extreme KRN accessions,PI601502,High KRN
XBSA_7F12,16,USDA Extreme KRN accessions,PI601558,Random KRN
XBSA_3B1,18,USDA Extreme KRN accessions,PI601729,High KRN
XBSA_1G4,22,USDA Extreme KRN accessions,PI601775,High KRN
XBSA_3B2,18,USDA Extreme KRN accessions,PI601787,High KRN
XBSA_3B3,18,USDA Extreme KRN accessions,PI601792,High KRN
XBSA_3B4,18,USDA Extreme KRN accessions,PI602495,High KRN
XBSA_3C1,18,USDA Extreme KRN accessions,PI604606,High KRN
XBSA_7F11,13,USDA Extreme KRN accessions,PI607398,Random KRN
XBSA_3C2,20,USDA Extreme KRN accessions,PI607591,High KRN
XBSA_3C3,19,USDA Extreme KRN accessions,PI607592,High KRN
XBSA_3C4,18,USDA Extreme KRN accessions,PI607595,High KRN
XBSA_3D1,18,USDA Extreme KRN accessions,PI607601,High KRN
XBSA_4E4,NA,USDA Extreme KRN accessions,PI608472,Low KRN
XBSA_3D2,18,USDA Extreme KRN accessions,PI608473,High KRN
XBSA_7F10,14,USDA Extreme KRN accessions,PI608478,Random KRN
XBSA_3D3,19,USDA Extreme KRN accessions,PI608487,High KRN
XBSA_3D4,18,USDA Extreme KRN accessions,PI608489,High KRN
XBSA_3E1,19,USDA Extreme KRN accessions,PI608495,High KRN
XBSA_3E2,18,USDA Extreme KRN accessions,PI608500,High KRN
XBSA_3E3,18,USDA Extreme KRN accessions,PI608517,High KRN
XBSA_3E4,18,USDA Extreme KRN accessions,PI608518,High KRN
XBSA_3F1,18,USDA Extreme KRN accessions,PI608520,High KRN
XBSA_7F9,10,USDA Extreme KRN accessions,PI608524,Random KRN
XBSA_7E12,15,USDA Extreme KRN accessions,PI608538,Random KRN
XBSA_3F2,20,USDA Extreme KRN accessions,PI608539,High KRN
XBSA_7E11,14,USDA Extreme KRN accessions,PI608614,Random KRN
XBSA_3F3,22,USDA Extreme KRN accessions,PI608615,High KRN
XBSA_3F4,18,USDA Extreme KRN accessions,PI608631,High KRN
XBSA_3G2,18,USDA Extreme KRN accessions,PI608632,High KRN
XBSA_7E10,17,USDA Extreme KRN accessions,PI608637,Random KRN
XBSA_3G3,21,USDA Extreme KRN accessions,PI608644,High KRN
XBSA_3G4,18,USDA Extreme KRN accessions,PI608764,High KRN
XBSA_3H2,19,USDA Extreme KRN accessions,PI613071,High KRN
XBSA_3H3,19,USDA Extreme KRN accessions,PI619189,High KRN
XBSA_7E9,12,USDA Extreme KRN accessions,PI620857,Random KRN
XBSA_7D12,15,USDA Extreme KRN accessions,PI628405,Random KRN
XBSA_7D11,12,USDA Extreme KRN accessions,PI629247,Random KRN
XBSA_3H4,18,USDA Extreme KRN accessions,PI631444,High KRN
XBSA_3A5,18,USDA Extreme KRN accessions,PI634206,High KRN
XBSA_3B5,19,USDA Extreme KRN accessions,PI639050,High KRN
XBSA_7D10,17,USDA Extreme KRN accessions,PI639053,Random KRN
XBSA_7D9,13,USDA Extreme KRN accessions,PI639505,Random KRN
XBSA_7C12,12,USDA Extreme KRN accessions,PI641260,Random KRN
