type,Genotype,Population,Subpopulation,Internal_id,accessionID,KRN
GWAS population,Z004E0123,NAMRIL,Z004,Z004E0123,NA,13.4
GWAS population,Z004E0124,NAMRIL,Z004,Z004E0124,NA,15.8
GWAS population,Z004E0125,NAMRIL,Z004,Z004E0125,NA,15.7
GWAS population,Z004E0126,NAMRIL,Z004,Z004E0126,NA,16
GWAS population,Z004E0127,NAMRIL,Z004,Z004E0127,NA,14.8
GWAS population,Z004E0128,NAMRIL,Z004,Z004E0128,NA,15.3
GWAS population,Z004E0129,NAMRIL,Z004,Z004E0129,NA,16.6
GWAS population,Z004E0130,NAMRIL,Z004,Z004E0130,NA,14.8
GWAS population,Z004E0131,NAMRIL,Z004,Z004E0131,NA,17.5
GWAS population,Z004E0132,NAMRIL,Z004,Z004E0132,NA,16.8
GWAS population,Z004E0133,NAMRIL,Z004,Z004E0133,NA,13.8
GWAS population,Z004E0134,NAMRIL,Z004,Z004E0134,NA,15.9
GWAS population,Z004E0135,NAMRIL,Z004,Z004E0135,NA,15.6
GWAS population,Z004E0136,NAMRIL,Z004,Z004E0136,NA,17.2
GWAS population,Z004E0137,NAMRIL,Z004,Z004E0137,NA,14
GWAS population,Z004E0138,NAMRIL,Z004,Z004E0138,NA,15
GWAS population,Z004E0139,NAMRIL,Z004,Z004E0139,NA,15.1
GWAS population,Z004E0140,NAMRIL,Z004,Z004E0140,NA,15.6
GWAS population,Z004E0141,NAMRIL,Z004,Z004E0141,NA,14.9
GWAS population,Z004E0142,NAMRIL,Z004,Z004E0142,NA,16.9
GWAS population,Z004E0143,NAMRIL,Z004,Z004E0143,NA,14.2
GWAS population,Z004E0144,NAMRIL,Z004,Z004E0144,NA,15.4
GWAS population,Z004E0145,NAMRIL,Z004,Z004E0145,NA,15.1
GWAS population,Z004E0146,NAMRIL,Z004,Z004E0146,NA,14.8
GWAS population,Z004E0147,NAMRIL,Z004,Z004E0147,NA,16.3
GWAS population,Z004E0148,NAMRIL,Z004,Z004E0148,NA,14
GWAS population,Z004E0149,NAMRIL,Z004,Z004E0149,NA,16.3
GWAS population,Z004E0150,NAMRIL,Z004,Z004E0150,NA,13
GWAS population,Z004E0151,NAMRIL,Z004,Z004E0151,NA,15.1
GWAS population,Z004E0152,NAMRIL,Z004,Z004E0152,NA,16.8
GWAS population,Z004E0153,NAMRIL,Z004,Z004E0153,NA,18.3
GWAS population,Z004E0154,NAMRIL,Z004,Z004E0154,NA,14.1
GWAS population,Z004E0155,NAMRIL,Z004,Z004E0155,NA,17.8
GWAS population,Z004E0156,NAMRIL,Z004,Z004E0156,NA,14.7
GWAS population,Z004E0157,NAMRIL,Z004,Z004E0157,NA,13.3
GWAS population,Z004E0158,NAMRIL,Z004,Z004E0158,NA,14.6
GWAS population,Z004E0159,NAMRIL,Z004,Z004E0159,NA,15.6
GWAS population,Z004E0160,NAMRIL,Z004,Z004E0160,NA,16.8
GWAS population,Z004E0161,NAMRIL,Z004,Z004E0161,NA,12
GWAS population,Z004E0162,NAMRIL,Z004,Z004E0162,NA,16.2
GWAS population,Z004E0163,NAMRIL,Z004,Z004E0163,NA,17.8
GWAS population,Z004E0164,NAMRIL,Z004,Z004E0164,NA,15.3
GWAS population,Z004E0165,NAMRIL,Z004,Z004E0165,NA,16.6
GWAS population,Z004E0166,NAMRIL,Z004,Z004E0166,NA,12.7
GWAS population,Z004E0167,NAMRIL,Z004,Z004E0167,NA,15.9
GWAS population,Z004E0168,NAMRIL,Z004,Z004E0168,NA,14.7
GWAS population,Z004E0169,NAMRIL,Z004,Z004E0169,NA,12.4
GWAS population,Z004E0170,NAMRIL,Z004,Z004E0170,NA,15.8
GWAS population,Z004E0171,NAMRIL,Z004,Z004E0171,NA,14.1
GWAS population,Z004E0172,NAMRIL,Z004,Z004E0172,NA,13.5
GWAS population,Z004E0173,NAMRIL,Z004,Z004E0173,NA,15.4
GWAS population,Z004E0174,NAMRIL,Z004,Z004E0174,NA,15.2
GWAS population,Z004E0175,NAMRIL,Z004,Z004E0175,NA,14.3
GWAS population,Z004E0176,NAMRIL,Z004,Z004E0176,NA,10.8
GWAS population,Z004E0177,NAMRIL,Z004,Z004E0177,NA,17.4
GWAS population,Z004E0178,NAMRIL,Z004,Z004E0178,NA,17.2
GWAS population,Z004E0179,NAMRIL,Z004,Z004E0179,NA,14.5
GWAS population,Z004E0180,NAMRIL,Z004,Z004E0180,NA,17.3
GWAS population,Z004E0181,NAMRIL,Z004,Z004E0181,NA,18.7
GWAS population,Z004E0182,NAMRIL,Z004,Z004E0182,NA,15.3
GWAS population,Z004E0183,NAMRIL,Z004,Z004E0183,NA,17.9
GWAS population,Z004E0184,NAMRIL,Z004,Z004E0184,NA,13.5
GWAS population,Z004E0185,NAMRIL,Z004,Z004E0185,NA,14.5
GWAS population,Z004E0186,NAMRIL,Z004,Z004E0186,NA,14.9
GWAS population,Z004E0187,NAMRIL,Z004,Z004E0187,NA,13.7
GWAS population,Z004E0188,NAMRIL,Z004,Z004E0188,NA,13.7
GWAS population,Z004E0189,NAMRIL,Z004,Z004E0189,NA,18
GWAS population,Z004E0190,NAMRIL,Z004,Z004E0190,NA,18.2
GWAS population,Z004E0191,NAMRIL,Z004,Z004E0191,NA,15.8
GWAS population,Z004E0192,NAMRIL,Z004,Z004E0192,NA,13.4
GWAS population,Z004E0193,NAMRIL,Z004,Z004E0193,NA,17.7
GWAS population,Z004E0194,NAMRIL,Z004,Z004E0194,NA,15.3
GWAS population,Z004E0195,NAMRIL,Z004,Z004E0195,NA,13.4
GWAS population,Z004E0196,NAMRIL,Z004,Z004E0196,NA,15.5
GWAS population,Z004E0197,NAMRIL,Z004,Z004E0197,NA,15.6
GWAS population,Z004E0198,NAMRIL,Z004,Z004E0198,NA,16.5
GWAS population,Z004E0199,NAMRIL,Z004,Z004E0199,NA,18.9
GWAS population,Z004E0200,NAMRIL,Z004,Z004E0200,NA,15.9
GWAS population,Z005E0001,NAMRIL,Z005,Z005E0001,NA,16.1
GWAS population,Z005E0003,NAMRIL,Z005,Z005E0003,NA,13.3
GWAS population,Z005E0004,NAMRIL,Z005,Z005E0004,NA,15
GWAS population,Z005E0005,NAMRIL,Z005,Z005E0005,NA,12.6
GWAS population,Z005E0006,NAMRIL,Z005,Z005E0006,NA,12.5
GWAS population,Z005E0007,NAMRIL,Z005,Z005E0007,NA,13.6
GWAS population,Z005E0008,NAMRIL,Z005,Z005E0008,NA,12.4
GWAS population,Z005E0009,NAMRIL,Z005,Z005E0009,NA,13.1
GWAS population,Z005E0010,NAMRIL,Z005,Z005E0010,NA,16.9
GWAS population,Z005E0011,NAMRIL,Z005,Z005E0011,NA,12.7
GWAS population,Z005E0012,NAMRIL,Z005,Z005E0012,NA,13.9
GWAS population,Z005E0013,NAMRIL,Z005,Z005E0013,NA,14
GWAS population,Z005E0014,NAMRIL,Z005,Z005E0014,NA,13
GWAS population,Z005E0015,NAMRIL,Z005,Z005E0015,NA,15.9
GWAS population,Z005E0016,NAMRIL,Z005,Z005E0016,NA,13.1
GWAS population,Z005E0017,NAMRIL,Z005,Z005E0017,NA,15.7
GWAS population,Z005E0018,NAMRIL,Z005,Z005E0018,NA,13.2
GWAS population,Z005E0019,NAMRIL,Z005,Z005E0019,NA,12.3
GWAS population,Z005E0020,NAMRIL,Z005,Z005E0020,NA,17.2
GWAS population,Z005E0021,NAMRIL,Z005,Z005E0021,NA,12.8
GWAS population,Z005E0022,NAMRIL,Z005,Z005E0022,NA,12.4
GWAS population,Z005E0023,NAMRIL,Z005,Z005E0023,NA,12.8
GWAS population,Z005E0024,NAMRIL,Z005,Z005E0024,NA,15.1
GWAS population,Z005E0025,NAMRIL,Z005,Z005E0025,NA,14.9
GWAS population,Z005E0027,NAMRIL,Z005,Z005E0027,NA,14.3
GWAS population,Z005E0028,NAMRIL,Z005,Z005E0028,NA,14.1
GWAS population,Z005E0029,NAMRIL,Z005,Z005E0029,NA,13.5
GWAS population,Z005E0032,NAMRIL,Z005,Z005E0032,NA,14.6
GWAS population,Z005E0033,NAMRIL,Z005,Z005E0033,NA,15.8
GWAS population,Z005E0034,NAMRIL,Z005,Z005E0034,NA,16.7
GWAS population,Z005E0035,NAMRIL,Z005,Z005E0035,NA,17.2
GWAS population,Z005E0036,NAMRIL,Z005,Z005E0036,NA,11.8
GWAS population,Z005E0037,NAMRIL,Z005,Z005E0037,NA,14.9
GWAS population,Z005E0038,NAMRIL,Z005,Z005E0038,NA,15.4
GWAS population,Z005E0039,NAMRIL,Z005,Z005E0039,NA,13.8
GWAS population,Z005E0040,NAMRIL,Z005,Z005E0040,NA,12.8
GWAS population,Z005E0042,NAMRIL,Z005,Z005E0042,NA,14.4
GWAS population,Z005E0043,NAMRIL,Z005,Z005E0043,NA,15.5
GWAS population,Z005E0044,NAMRIL,Z005,Z005E0044,NA,14.9
GWAS population,Z005E0045,NAMRIL,Z005,Z005E0045,NA,13.2
GWAS population,Z005E0046,NAMRIL,Z005,Z005E0046,NA,15.7
GWAS population,Z005E0047,NAMRIL,Z005,Z005E0047,NA,15.2
GWAS population,Z005E0048,NAMRIL,Z005,Z005E0048,NA,16.7
GWAS population,Z005E0049,NAMRIL,Z005,Z005E0049,NA,14.4
GWAS population,Z005E0050,NAMRIL,Z005,Z005E0050,NA,12.3
GWAS population,Z005E0051,NAMRIL,Z005,Z005E0051,NA,13
GWAS population,Z005E0052,NAMRIL,Z005,Z005E0052,NA,13.1
GWAS population,Z005E0053,NAMRIL,Z005,Z005E0053,NA,17.3
GWAS population,Z005E0054,NAMRIL,Z005,Z005E0054,NA,14.7
GWAS population,Z005E0055,NAMRIL,Z005,Z005E0055,NA,14.1
GWAS population,Z005E0056,NAMRIL,Z005,Z005E0056,NA,12.1
GWAS population,Z005E0057,NAMRIL,Z005,Z005E0057,NA,16.8
GWAS population,Z005E0058,NAMRIL,Z005,Z005E0058,NA,12.7
GWAS population,Z005E0059,NAMRIL,Z005,Z005E0059,NA,14.2
GWAS population,Z005E0060,NAMRIL,Z005,Z005E0060,NA,13.1
GWAS population,Z005E0061,NAMRIL,Z005,Z005E0061,NA,15
GWAS population,Z005E0062,NAMRIL,Z005,Z005E0062,NA,13.3
GWAS population,Z005E0063,NAMRIL,Z005,Z005E0063,NA,14.1
GWAS population,Z005E0064,NAMRIL,Z005,Z005E0064,NA,17.6
GWAS population,Z005E0066,NAMRIL,Z005,Z005E0066,NA,15.8
GWAS population,Z005E0067,NAMRIL,Z005,Z005E0067,NA,15.6
GWAS population,Z005E0068,NAMRIL,Z005,Z005E0068,NA,12.2
GWAS population,Z005E0069,NAMRIL,Z005,Z005E0069,NA,13.2
GWAS population,Z005E0070,NAMRIL,Z005,Z005E0070,NA,16.5
GWAS population,Z005E0071,NAMRIL,Z005,Z005E0071,NA,15.1
GWAS population,Z005E0072,NAMRIL,Z005,Z005E0072,NA,11.3
GWAS population,Z005E0073,NAMRIL,Z005,Z005E0073,NA,12.7
GWAS population,Z005E0074,NAMRIL,Z005,Z005E0074,NA,15.2
GWAS population,Z005E0075,NAMRIL,Z005,Z005E0075,NA,14.6
GWAS population,Z005E0076,NAMRIL,Z005,Z005E0076,NA,14.5
GWAS population,Z005E0077,NAMRIL,Z005,Z005E0077,NA,11.6
GWAS population,Z005E0078,NAMRIL,Z005,Z005E0078,NA,12.8
GWAS population,Z005E0079,NAMRIL,Z005,Z005E0079,NA,13.8
GWAS population,Z005E0080,NAMRIL,Z005,Z005E0080,NA,15.5
GWAS population,Z005E0081,NAMRIL,Z005,Z005E0081,NA,15.3
GWAS population,Z005E0082,NAMRIL,Z005,Z005E0082,NA,16.4
GWAS population,Z005E0083,NAMRIL,Z005,Z005E0083,NA,14.1
GWAS population,Z005E0084,NAMRIL,Z005,Z005E0084,NA,13
GWAS population,Z005E0085,NAMRIL,Z005,Z005E0085,NA,12.1
GWAS population,Z005E0087,NAMRIL,Z005,Z005E0087,NA,14.5
GWAS population,Z005E0088,NAMRIL,Z005,Z005E0088,NA,14.7
GWAS population,Z005E0089,NAMRIL,Z005,Z005E0089,NA,14.7
GWAS population,Z005E0090,NAMRIL,Z005,Z005E0090,NA,12.2
GWAS population,Z005E0091,NAMRIL,Z005,Z005E0091,NA,14.9
GWAS population,Z005E0092,NAMRIL,Z005,Z005E0092,NA,14.7
GWAS population,Z005E0093,NAMRIL,Z005,Z005E0093,NA,14.8
GWAS population,Z005E0094,NAMRIL,Z005,Z005E0094,NA,17.4
GWAS population,Z005E0095,NAMRIL,Z005,Z005E0095,NA,15
GWAS population,Z005E0096,NAMRIL,Z005,Z005E0096,NA,13
GWAS population,Z005E0097,NAMRIL,Z005,Z005E0097,NA,14.2
GWAS population,Z005E0098,NAMRIL,Z005,Z005E0098,NA,14.3
GWAS population,Z005E0099,NAMRIL,Z005,Z005E0099,NA,14
GWAS population,Z005E0100,NAMRIL,Z005,Z005E0100,NA,16.9
GWAS population,Z005E0101,NAMRIL,Z005,Z005E0101,NA,14.9
GWAS population,Z005E0102,NAMRIL,Z005,Z005E0102,NA,14.1
GWAS population,Z005E0103,NAMRIL,Z005,Z005E0103,NA,14.8
GWAS population,Z005E0104,NAMRIL,Z005,Z005E0104,NA,13.2
GWAS population,Z005E0105,NAMRIL,Z005,Z005E0105,NA,17.7
GWAS population,Z005E0106,NAMRIL,Z005,Z005E0106,NA,13.3
GWAS population,Z005E0107,NAMRIL,Z005,Z005E0107,NA,16.3
GWAS population,Z005E0108,NAMRIL,Z005,Z005E0108,NA,13.3
GWAS population,Z005E0109,NAMRIL,Z005,Z005E0109,NA,14.9
GWAS population,Z005E0110,NAMRIL,Z005,Z005E0110,NA,14.4
GWAS population,Z005E0111,NAMRIL,Z005,Z005E0111,NA,13.8
GWAS population,Z005E0112,NAMRIL,Z005,Z005E0112,NA,14.6
GWAS population,Z005E0113,NAMRIL,Z005,Z005E0113,NA,14.9
GWAS population,Z005E0114,NAMRIL,Z005,Z005E0114,NA,14.1
GWAS population,Z005E0115,NAMRIL,Z005,Z005E0115,NA,14.9
GWAS population,Z005E0116,NAMRIL,Z005,Z005E0116,NA,13.4
GWAS population,Z005E0117,NAMRIL,Z005,Z005E0117,NA,13.7
GWAS population,Z005E0118,NAMRIL,Z005,Z005E0118,NA,18.1
GWAS population,Z005E0119,NAMRIL,Z005,Z005E0119,NA,17.1
GWAS population,Z005E0120,NAMRIL,Z005,Z005E0120,NA,14.6
GWAS population,Z005E0121,NAMRIL,Z005,Z005E0121,NA,15
GWAS population,Z005E0122,NAMRIL,Z005,Z005E0122,NA,13.8
GWAS population,Z005E0123,NAMRIL,Z005,Z005E0123,NA,17.2
GWAS population,Z005E0124,NAMRIL,Z005,Z005E0124,NA,13.8
GWAS population,Z005E0125,NAMRIL,Z005,Z005E0125,NA,14.9
GWAS population,Z005E0126,NAMRIL,Z005,Z005E0126,NA,13.5
GWAS population,Z005E0127,NAMRIL,Z005,Z005E0127,NA,15.2
GWAS population,Z005E0128,NAMRIL,Z005,Z005E0128,NA,14
GWAS population,Z005E0129,NAMRIL,Z005,Z005E0129,NA,16.2
GWAS population,Z005E0130,NAMRIL,Z005,Z005E0130,NA,15.1
GWAS population,Z005E0131,NAMRIL,Z005,Z005E0131,NA,17.3
GWAS population,Z005E0133,NAMRIL,Z005,Z005E0133,NA,17.6
GWAS population,Z005E0134,NAMRIL,Z005,Z005E0134,NA,17.5
GWAS population,Z005E0135,NAMRIL,Z005,Z005E0135,NA,12.7
GWAS population,Z005E0136,NAMRIL,Z005,Z005E0136,NA,13.2
GWAS population,Z005E0137,NAMRIL,Z005,Z005E0137,NA,13.6
GWAS population,Z005E0138,NAMRIL,Z005,Z005E0138,NA,12.6
GWAS population,Z005E0139,NAMRIL,Z005,Z005E0139,NA,14.7
GWAS population,Z005E0141,NAMRIL,Z005,Z005E0141,NA,14.6
GWAS population,Z005E0142,NAMRIL,Z005,Z005E0142,NA,15.4
GWAS population,Z005E0143,NAMRIL,Z005,Z005E0143,NA,13.1
GWAS population,Z005E0144,NAMRIL,Z005,Z005E0144,NA,13.1
GWAS population,Z005E0145,NAMRIL,Z005,Z005E0145,NA,14.3
GWAS population,Z005E0146,NAMRIL,Z005,Z005E0146,NA,15.1
GWAS population,Z005E0147,NAMRIL,Z005,Z005E0147,NA,14.6
GWAS population,Z005E0148,NAMRIL,Z005,Z005E0148,NA,14.6
GWAS population,Z005E0149,NAMRIL,Z005,Z005E0149,NA,14.9
GWAS population,Z005E0150,NAMRIL,Z005,Z005E0150,NA,13.4
GWAS population,Z005E0151,NAMRIL,Z005,Z005E0151,NA,14.2
GWAS population,Z005E0152,NAMRIL,Z005,Z005E0152,NA,14.6
GWAS population,Z005E0153,NAMRIL,Z005,Z005E0153,NA,14.3
GWAS population,Z005E0154,NAMRIL,Z005,Z005E0154,NA,15.2
GWAS population,Z005E0155,NAMRIL,Z005,Z005E0155,NA,12.8
GWAS population,Z005E0156,NAMRIL,Z005,Z005E0156,NA,14
GWAS population,Z005E0157,NAMRIL,Z005,Z005E0157,NA,12.2
GWAS population,Z005E0158,NAMRIL,Z005,Z005E0158,NA,14.1
GWAS population,Z005E0159,NAMRIL,Z005,Z005E0159,NA,13.7
GWAS population,Z005E0160,NAMRIL,Z005,Z005E0160,NA,15
GWAS population,Z005E0161,NAMRIL,Z005,Z005E0161,NA,14.4
GWAS population,Z005E0162,NAMRIL,Z005,Z005E0162,NA,15.7
GWAS population,Z005E0163,NAMRIL,Z005,Z005E0163,NA,12.8
GWAS population,Z005E0164,NAMRIL,Z005,Z005E0164,NA,12.3
GWAS population,Z005E0165,NAMRIL,Z005,Z005E0165,NA,14.9
GWAS population,Z005E0166,NAMRIL,Z005,Z005E0166,NA,13.7
GWAS population,Z005E0167,NAMRIL,Z005,Z005E0167,NA,13.6
GWAS population,Z005E0168,NAMRIL,Z005,Z005E0168,NA,12.6
GWAS population,Z005E0169,NAMRIL,Z005,Z005E0169,NA,13.3
GWAS population,Z005E0170,NAMRIL,Z005,Z005E0170,NA,16.9
GWAS population,Z005E0171,NAMRIL,Z005,Z005E0171,NA,16.9
GWAS population,Z005E0172,NAMRIL,Z005,Z005E0172,NA,12.4
GWAS population,Z005E0173,NAMRIL,Z005,Z005E0173,NA,12.3
GWAS population,Z005E0174,NAMRIL,Z005,Z005E0174,NA,15.6
GWAS population,Z005E0175,NAMRIL,Z005,Z005E0175,NA,14.5
GWAS population,Z005E0176,NAMRIL,Z005,Z005E0176,NA,14.7
GWAS population,Z005E0178,NAMRIL,Z005,Z005E0178,NA,13.6
GWAS population,Z005E0179,NAMRIL,Z005,Z005E0179,NA,14.3
GWAS population,Z005E0180,NAMRIL,Z005,Z005E0180,NA,13
GWAS population,Z005E0181,NAMRIL,Z005,Z005E0181,NA,13.8
GWAS population,Z005E0182,NAMRIL,Z005,Z005E0182,NA,14.5
GWAS population,Z005E0183,NAMRIL,Z005,Z005E0183,NA,13.8
GWAS population,Z005E0184,NAMRIL,Z005,Z005E0184,NA,16.5
GWAS population,Z005E0185,NAMRIL,Z005,Z005E0185,NA,13.5
GWAS population,Z005E0186,NAMRIL,Z005,Z005E0186,NA,15.1
GWAS population,Z005E0187,NAMRIL,Z005,Z005E0187,NA,14.3
GWAS population,Z005E0189,NAMRIL,Z005,Z005E0189,NA,12.6
GWAS population,Z005E0190,NAMRIL,Z005,Z005E0190,NA,14.6
GWAS population,Z005E0191,NAMRIL,Z005,Z005E0191,NA,12.1
GWAS population,Z005E0192,NAMRIL,Z005,Z005E0192,NA,12.9
GWAS population,Z005E0193,NAMRIL,Z005,Z005E0193,NA,15
GWAS population,Z005E0195,NAMRIL,Z005,Z005E0195,NA,14.9
GWAS population,Z005E0196,NAMRIL,Z005,Z005E0196,NA,15.3
GWAS population,Z005E0197,NAMRIL,Z005,Z005E0197,NA,13.2
GWAS population,Z005E0198,NAMRIL,Z005,Z005E0198,NA,12.6
GWAS population,Z005E0199,NAMRIL,Z005,Z005E0199,NA,18
GWAS population,Z006E0001,NAMRIL,Z006,Z006E0001,NA,14.8
GWAS population,Z006E0002,NAMRIL,Z006,Z006E0002,NA,13.3
GWAS population,Z006E0003,NAMRIL,Z006,Z006E0003,NA,15.3
GWAS population,Z006E0005,NAMRIL,Z006,Z006E0005,NA,16.2
GWAS population,Z006E0006,NAMRIL,Z006,Z006E0006,NA,15.7
GWAS population,Z006E0007,NAMRIL,Z006,Z006E0007,NA,16.9
GWAS population,Z006E0008,NAMRIL,Z006,Z006E0008,NA,13.5
GWAS population,Z006E0009,NAMRIL,Z006,Z006E0009,NA,16.7
GWAS population,Z006E0010,NAMRIL,Z006,Z006E0010,NA,16.8
GWAS population,Z006E0011,NAMRIL,Z006,Z006E0011,NA,13.3
GWAS population,Z006E0012,NAMRIL,Z006,Z006E0012,NA,16.3
GWAS population,Z006E0013,NAMRIL,Z006,Z006E0013,NA,16.6
GWAS population,Z006E0014,NAMRIL,Z006,Z006E0014,NA,14.1
GWAS population,Z006E0015,NAMRIL,Z006,Z006E0015,NA,16.1
GWAS population,Z006E0016,NAMRIL,Z006,Z006E0016,NA,17.1
GWAS population,Z006E0017,NAMRIL,Z006,Z006E0017,NA,15.9
GWAS population,Z006E0018,NAMRIL,Z006,Z006E0018,NA,16
GWAS population,Z006E0020,NAMRIL,Z006,Z006E0020,NA,15.1
GWAS population,Z006E0023,NAMRIL,Z006,Z006E0023,NA,14.2
GWAS population,Z006E0024,NAMRIL,Z006,Z006E0024,NA,16.6
GWAS population,Z006E0025,NAMRIL,Z006,Z006E0025,NA,15.7
GWAS population,Z006E0026,NAMRIL,Z006,Z006E0026,NA,15.6
GWAS population,Z006E0027,NAMRIL,Z006,Z006E0027,NA,16.2
GWAS population,Z006E0028,NAMRIL,Z006,Z006E0028,NA,13
GWAS population,Z006E0029,NAMRIL,Z006,Z006E0029,NA,14.6
GWAS population,Z006E0031,NAMRIL,Z006,Z006E0031,NA,17
GWAS population,Z006E0032,NAMRIL,Z006,Z006E0032,NA,14
GWAS population,Z006E0033,NAMRIL,Z006,Z006E0033,NA,14.5
GWAS population,Z006E0034,NAMRIL,Z006,Z006E0034,NA,16
GWAS population,Z006E0035,NAMRIL,Z006,Z006E0035,NA,12.6
GWAS population,Z006E0036,NAMRIL,Z006,Z006E0036,NA,16.5
GWAS population,Z006E0037,NAMRIL,Z006,Z006E0037,NA,17.8
GWAS population,Z006E0038,NAMRIL,Z006,Z006E0038,NA,16.2
GWAS population,Z006E0041,NAMRIL,Z006,Z006E0041,NA,19.5
GWAS population,Z006E0042,NAMRIL,Z006,Z006E0042,NA,13.6
GWAS population,Z006E0043,NAMRIL,Z006,Z006E0043,NA,13.4
GWAS population,Z006E0044,NAMRIL,Z006,Z006E0044,NA,17.6
GWAS population,Z006E0046,NAMRIL,Z006,Z006E0046,NA,16.6
GWAS population,Z006E0047,NAMRIL,Z006,Z006E0047,NA,18.7
GWAS population,Z006E0048,NAMRIL,Z006,Z006E0048,NA,15.9
GWAS population,Z006E0049,NAMRIL,Z006,Z006E0049,NA,15.7
GWAS population,Z006E0050,NAMRIL,Z006,Z006E0050,NA,17.7
GWAS population,Z006E0051,NAMRIL,Z006,Z006E0051,NA,14.5
GWAS population,Z006E0052,NAMRIL,Z006,Z006E0052,NA,15.3
GWAS population,Z006E0053,NAMRIL,Z006,Z006E0053,NA,15.1
GWAS population,Z006E0054,NAMRIL,Z006,Z006E0054,NA,16.3
GWAS population,Z006E0055,NAMRIL,Z006,Z006E0055,NA,15.3
GWAS population,Z006E0056,NAMRIL,Z006,Z006E0056,NA,16.1
GWAS population,Z006E0057,NAMRIL,Z006,Z006E0057,NA,15.9
GWAS population,Z006E0058,NAMRIL,Z006,Z006E0058,NA,15.3
GWAS population,Z006E0059,NAMRIL,Z006,Z006E0059,NA,14.1
GWAS population,Z006E0060,NAMRIL,Z006,Z006E0060,NA,17.1
GWAS population,Z006E0061,NAMRIL,Z006,Z006E0061,NA,17.4
GWAS population,Z006E0062,NAMRIL,Z006,Z006E0062,NA,14.9
GWAS population,Z006E0063,NAMRIL,Z006,Z006E0063,NA,16.6
GWAS population,Z006E0065,NAMRIL,Z006,Z006E0065,NA,16.5
GWAS population,Z006E0066,NAMRIL,Z006,Z006E0066,NA,14.6
GWAS population,Z006E0068,NAMRIL,Z006,Z006E0068,NA,13.6
GWAS population,Z006E0069,NAMRIL,Z006,Z006E0069,NA,15.5
GWAS population,Z006E0070,NAMRIL,Z006,Z006E0070,NA,14.6
GWAS population,Z006E0071,NAMRIL,Z006,Z006E0071,NA,14.6
GWAS population,Z006E0072,NAMRIL,Z006,Z006E0072,NA,16.2
GWAS population,Z006E0073,NAMRIL,Z006,Z006E0073,NA,14.8
GWAS population,Z006E0074,NAMRIL,Z006,Z006E0074,NA,15.1
GWAS population,Z006E0075,NAMRIL,Z006,Z006E0075,NA,14.1
GWAS population,Z006E0076,NAMRIL,Z006,Z006E0076,NA,14.9
GWAS population,Z006E0077,NAMRIL,Z006,Z006E0077,NA,14.7
GWAS population,Z006E0078,NAMRIL,Z006,Z006E0078,NA,16.1
GWAS population,Z006E0079,NAMRIL,Z006,Z006E0079,NA,13.2
GWAS population,Z006E0080,NAMRIL,Z006,Z006E0080,NA,16.1
GWAS population,Z006E0081,NAMRIL,Z006,Z006E0081,NA,16.4
GWAS population,Z006E0082,NAMRIL,Z006,Z006E0082,NA,13.1
GWAS population,Z006E0083,NAMRIL,Z006,Z006E0083,NA,16.7
GWAS population,Z006E0084,NAMRIL,Z006,Z006E0084,NA,13.3
GWAS population,Z006E0085,NAMRIL,Z006,Z006E0085,NA,16
GWAS population,Z006E0086,NAMRIL,Z006,Z006E0086,NA,14.1
GWAS population,Z006E0087,NAMRIL,Z006,Z006E0087,NA,15.5
GWAS population,Z006E0088,NAMRIL,Z006,Z006E0088,NA,15.5
GWAS population,Z006E0089,NAMRIL,Z006,Z006E0089,NA,17.4
GWAS population,Z006E0090,NAMRIL,Z006,Z006E0090,NA,15
GWAS population,Z006E0091,NAMRIL,Z006,Z006E0091,NA,16
GWAS population,Z006E0092,NAMRIL,Z006,Z006E0092,NA,15.1
GWAS population,Z006E0093,NAMRIL,Z006,Z006E0093,NA,16.3
GWAS population,Z006E0094,NAMRIL,Z006,Z006E0094,NA,15.7
GWAS population,Z006E0095,NAMRIL,Z006,Z006E0095,NA,16.3
GWAS population,Z006E0096,NAMRIL,Z006,Z006E0096,NA,14.1
GWAS population,Z006E0097,NAMRIL,Z006,Z006E0097,NA,15.8
GWAS population,Z006E0098,NAMRIL,Z006,Z006E0098,NA,12.8
GWAS population,Z006E0099,NAMRIL,Z006,Z006E0099,NA,13.4
GWAS population,Z006E0100,NAMRIL,Z006,Z006E0100,NA,13.5
GWAS population,Z006E0101,NAMRIL,Z006,Z006E0101,NA,16.1
GWAS population,Z006E0102,NAMRIL,Z006,Z006E0102,NA,16.1
GWAS population,Z006E0103,NAMRIL,Z006,Z006E0103,NA,15.9
GWAS population,Z006E0104,NAMRIL,Z006,Z006E0104,NA,17.2
GWAS population,Z006E0105,NAMRIL,Z006,Z006E0105,NA,17.8
GWAS population,Z006E0106,NAMRIL,Z006,Z006E0106,NA,19.3
GWAS population,Z006E0107,NAMRIL,Z006,Z006E0107,NA,14
GWAS population,Z006E0108,NAMRIL,Z006,Z006E0108,NA,17.1
GWAS population,Z006E0109,NAMRIL,Z006,Z006E0109,NA,13.9
GWAS population,Z006E0110,NAMRIL,Z006,Z006E0110,NA,15.3
GWAS population,Z006E0111,NAMRIL,Z006,Z006E0111,NA,15.8
GWAS population,Z006E0112,NAMRIL,Z006,Z006E0112,NA,15.4
GWAS population,Z006E0113,NAMRIL,Z006,Z006E0113,NA,15.3
GWAS population,Z006E0114,NAMRIL,Z006,Z006E0114,NA,14.2
