<Trait>	20KernelWeight	CobColor	CobDiameter	CobDiameter	CobWeight	CobWeight	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	EarDiameter	EarDiameter	EarLength	EarLength	EarRankNumber	EarRankNumber	EarRowNumber	EarRowNumber	EarWeight	EarWeight	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	HerbicideSensitivity	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafSheathLength	LeafWidth-BorderPlant	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	NorthernLeafBlight-IncubationPeriod	NorthernLeafBlight(Percentage)	NorthernLeafBlight(Percentage)	NorthernLeafBlight	NumberofLeaves	NumberofTilleringPlants	NumberofTilleringPlants	Phylotaxy	RowQuality	RowQuality	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SeedSetLength	Spikelets-MainSpike	Spikelets-MainSpike	Spikelets-PrimaryBranch	Spikelets-PrimaryBranch	StandCount	StandCount	StandCount	StandCount	StandCount	StandCount	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselSterility	TilleringIndex-BorderPlant	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	TotalKernelVolume	TotalKernelVolume	UpperLeafAngle-BorderPlant	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle
Z008E0027	5.65	-999	-999	27.405	-999	23.06	90	106	75	61	90	74	75	90	69	-999	88	105	74	61	87	74	75	89	68	-999	-999	45.505	-999	164.035	-999	36	-999	15.5	-999	147.035	13	5	12	6	9	12	9	-999	727	808	851	655.5	940	896	771	986	864	126	91	93	94	97	53	89	80	85	87	85	246	226	247	-999	244	184	256	251	75	70	70	-999	65	-999	-999	16	18	-999	3	5.5	0	-999	-999	1	3	0	1	0	2	2	-999	18	22	11	13	7	8	11	7	-999	-999	200	158	164	186	340	331	308	-999	344	288	323	360	10	13	10	-999	11	11	7	14	-999	0	-999	1	1	-999	-999	175	65	80	70	75	55	75	65	80	65	70
Z008E0028	5	-999	-999	27.3	-999	19.885	92	108	80	61	90	75	79	-999	75	-999	92	108	78	60	89	75	76	-999	74	-999	-999	44.045	-999	135.815	-999	32.5	-999	14	-999	116.53	7	6	12	5	5	1	5	-999	734	982	935	632	917	895	886	1019	1036	135	102	100	96	96	93	94	100	101	101	123	256	278	264	208	248	235	250	227	80	70	70	-999	65	-999	-999	13	20	19.25	3	4	0	-999	-999	1	2	2	2	1	2	3	-999	25	33	9	14	6	5	6	6	-999	-999	312	318	259	252	366	399	354	298	354	358	378	346	11	10	6	8	9	9	11	15	-999	0	-999	1	0	-999	-999	125	60	80	75	65	55	75	-999	75	75	70
Z008E0029	4.1	-999	-999	23.37	-999	12.75	93	122	83	63	92	77	78	95	75	-999	92	121	81	62	89	77	77	92	74	-999	-999	37.735	-999	134.815	-999	23.5	-999	16	-999	58.95	16	6	10	5	-999	10	2	-999	824	-999	816	-999	862	785	883	893	991	146	88	-999	-999	101	87	102	95	100	89	118	241	198	263	157	229	176	268	240	75	80	80	-999	60	-999	-999	-999	15	-999	3	5	0	-999	-999	2	3	2	3	1	3	2	-999	14	28	9	16	5	5	15	7	-999	-999	262	208	208	190	350	310	339	257	318	276	365	368	8	15	8	12	12	11	9	14	-999	0	-999	1	0	-999	-999	60	-999	80	-999	75	65	80	-999	80	80	80
Z008E0030	4.63	-999	-999	24.13	-999	21.44	-999	121	82	69	104	80	85	-999	78	-999	94	120	82	69	98	80	84	99	77	-999	-999	36.49	-999	132.085	-999	18	-999	15	-999	55.695	7	4	11	4	-999	-999	6	-999	800	878	855	693	858	857	854	911	942	135	95	84	101	93	82	90	90	102	97	116	227	204	225	178	-999	143	180	174	45	65	55	-999	60	-999	-999	-999	5	-999	1	5.333333333	0	-999	-999	1	2	3	3	2	3	4	-999	23	26	16	18	6	1	12	7	-999	-999	240	224	218	186	329	319	325	279	-999	267	234	292	21	24	11	11	13	16	14	21	-999	0	-999	1	0	-999	-999	52.5	-999	70	80	75	55	-999	-999	75	70	70
Z008E0031	3.9	-999	-999	22.515	-999	13.05	88	99	77	57	90	72	72	88	-999	75	88	99	75	57	89	73	73	89	-999	74	-999	37.77	-999	118.045	-999	19	-999	12	-999	45.1	7	4	9	6	9	5	0	-999	755	861	788	744	854	770	810	705	-999	120	-999	100	97	101	82	94	93	90	80	-999	230	227	245	184	252	176	286	-999	75	80	60	-999	60	-999	-999	17	20	11.75	3	5.5	0	-999	-999	2	3	2	2	2	2	-999	-999	18	30	8	14	7	5	10	7	-999	11	254	230	225	200	319	332	348	281	338	258	373	-999	10	9	15	9	9	7	10	-999	-999	0	-999	0	0	-999	-999	52.5	70	80	65	75	55	75	65	80	65	-999
Z008E0032	-999	-999	-999	24.365	-999	14.485	86	-999	83	63	100	80	80	100	74	-999	86	106	81	62	94	78	79	96	71	-999	-999	30.675	-999	132.215	-999	-999	-999	11	-999	-999	7	3	9	4	1	7	7	-999	541	831	731	697	851	648	797	824	824	143	78	79	97	79	78	98	80	83	86	107	238	248	254	181	268	193	274	200	80	70	55	-999	60	-999	-999	18	15	-999	4	5	0	-999	102.5	1	1	3	2	2	2	2	-999	23	38	9	16	6	6	13	7	-999	-999	254	254	225	176	359	358	379	312	406	284	387	350	8	10	7	9	8	6	10	12	-999	0	-999	0	0	-999	-999	-999	-999	60	75	75	50	75	-999	75	75	65
Z008E0033	-999	-999	-999	-999	-999	-999	92	-999	79	62	89	77	78	92	-999	-999	-999	105	79	61	87	77	76	90	85	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	8	7	5	1	14	1	-999	754	892	790	845	864	866	858	940	918	153	101	97	97	94	81	98	85	90	86	103	188	235	291	-999	264	202	251	-999	50	70	70	-999	72.5	-999	-999	30	20	-999	3	6	0	-999	-999	1	3	1	3	1	3	-999	-999	17	25	12	12	5	9	15	6	-999	-999	230	296	246	192	313	339	401	-999	358	329	391	-999	16	14	11	-999	7	14	12	-999	-999	0	-999	1	1	-999	-999	-999	85	-999	75	75	75	75	65	75	80	-999
Z008E0034	5.075	-999	-999	23.145	-999	14.765	-999	106	79	65	95	77	87	94	76	-999	94	104	80	64	91	77	78	95	75	-999	-999	41.045	-999	133.08	-999	30	-999	12	-999	95.855	2	1	10	4	-999	6	4	-999	497	-999	663	628	671	723	-999	685	762	135	67	71	-999	84	82	85	77	-999	72	95	286	243	235	177	251	168	222	209	60	75	75	-999	45	-999	-999	-999	30	-999	-999	5	0	-999	-999	3	2	2	2	2	2	3	-999	14	39	11	22	6	3	9	6	-999	-999	296	256	219	184	349	357	290	243	326	236	308	301	6	12	8	6	9	6	8	13	-999	0	-999	0	1	-999	-999	122.5	80	80	70	70	55	75	50	75	65	75
Z008E0035	-999	-999	-999	-999	-999	-999	92	106.5	77	63	89	76	78	-999	75	-999	92	106	77	62	91	76	77	94	75	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4	3	10	6	5	4	3	-999	-999	847	781	768	741	816	824	856	872	133	-999	-999	72	95	80	83	101	80	68	101	331	258	291	208	245	234	184	276	50	65	65	-999	65	-999	-999	15	10	14.25	2	5.5	0	-999	-999	-999	2	2	1	0	2	3	-999	20	26	15	12	5	5	3	7	-999	-999	286	240	196	254	429	330	358	322	310	338	257	388	7	4	7	10	4	9	8	9	-999	0	-999	1	0	-999	-999	-999	80	-999	60	75	55	-999	80	70	75	60
Z008E0036	5.485	-999	-999	27.605	-999	22.55	88	99	80	-999	91	79	84	97	79	-999	88	97	76	-999	87	77	77	94	80	-999	-999	45.37	-999	152.71	-999	31	-999	17	-999	128.86	12	8	11	6	9	11	2	-999	914	928	999	840	-999	932	953	1003	1004	146	96	110	86	96	92	-999	94	96	106	107	245	300	249	214	-999	188	256	199	75	75	60	-999	55	-999	-999	15	20	13.75	3	4.5	0	-999	232.5	-999	3	2	2	-999	3	1	-999	15	22	9	12	6	-999	12	6	-999	-999	238	242	-999	144	470	442	348	341	-999	302	424	346	10	20	14	12	-999	9	11	20	-999	0	-999	1	1	-999	-999	140	-999	90	80	80	60	-999	75	80	75	80
Z008E0037	-999	-999	-999	-999	-999	-999	88	107	77	65	93	80	78	96	80	79	88	106	78	65	92	80	80	95	80	78	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	15	1	12	6	-999	12	9	-999	764	859	853	748	809	787	805	1054	965	158	-999	75	91	88	73	93	86	85	81	100	309	301	287	224	360	220	304	318	45	70	75	-999	60	-999	-999	-999	12	-999	2	6	0	-999	237.5	3	2	1	0	1	2	2	-999	17	26	10	13	8	3	14	6	-999	11	242	242	251	253	401	376	370	328	461	310	360	406	8	10	9	7	10	9	7	9	-999	0	-999	1	0	-999	-999	-999	-999	60	70	75	60	75	-999	75	-999	60
Z008E0038	-999	-999	-999	-999	-999	-999	94	118	84	63	100	79	85	101	81	-999	94	118	81	62	90	77	79	96	79	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	14	6	11	6	-999	8	8	-999	843	893	702	773	829	816	854	863	861	133	79	93	83	86	83	91	77	92	84	92	333	317	365	279	-999	272	306	-999	70	75	75	-999	70	-999	-999	-999	5	-999	2	5.5	0	-999	245	3	3	2	2	-999	1	-999	-999	19	29	13	18	7	1	15	4	-999	-999	302	256	-999	242	472	481	489	409	-999	371	425	-999	10	14	7	8	-999	12	12	-999	-999	0	-999	1	0	-999	-999	-999	65	90	70	80	70	-999	-999	80	-999	-999
Z008E0039	3.945	-999	-999	21.965	-999	16.5	86	121	80	63	94	75	77	93	80	79	86	121	80	62	90	75	75	93	81	75	-999	-999	-999	142.86	-999	-999	-999	-999	-999	-999	9	2	10	3	-999	2	3	-999	742	636	766	-999	694	919	838	893	943	134	-999	87	63	82	73	92	80	81	76	92	312	264	331	264	258	269	358	121	55	90	55	-999	55	-999	-999	-999	12	-999	3	5	0	-999	-999	-999	2	3	1	0	3	2	-999	11	21	10	12	6	2	9	7	-999	12	332	252	248	276	427	328	416	350	327	389	449	196	10	6	9	10	9	9	12	16	-999	0	-999	0	0	-999	-999	-999	-999	75	80	75	55	80	60	75	75	75
Z008E0040	3.6	-999	-999	20.69	-999	13.3	-999	124	82	64	106	79	82	100	78	-999	92	121	82	64	103	78	81	97	77	-999	-999	38.26	-999	128.315	-999	22.5	-999	13	-999	45.15	10	4	11	6	-999	8	8	-999	851	-999	1034	814	834	817	917	843	1015	163	-999	102	-999	94	86	98	104	102	84	111	237	229	209	231	261	207	205	284	50	70	70	-999	-999	-999	-999	-999	15	-999	3	5.5	0	-999	-999	2	3	4	3	2	2	4	-999	26	25	18	14	7	7	14	6	-999	-999	188	208	200	177	350	326	362	322	350	298	316	165	10	14	14	9	6	9	13	11	1	0	-999	0	1	-999	-999	45	-999	50	-999	50	30	-999	-999	75	-999	50
Z008E0041	6.75	-999	-999	26.935	-999	12.45	90	96	81	57	85	74	78	90	69	-999	86	96	80	57	84	76	76	89	68	-999	-999	41.24	-999	122.02	-999	14.5	-999	13	-999	46.75	16	5	10	3	3	12	7	-999	885	855	942	-999	911	789	891	1031	1053	141	79	82	102	96	-999	97	93	94	89	104	311	300	358	222	249	201	269	248	55	75	90	-999	-999	-999	-999	34	5	3.666666667	2	5.5	0	-999	-999	1	3	3	2	2	2	2	-999	21	21	16	10	4	5	13	6	-999	-999	240	328	250	-999	410	418	454	330	358	344	403	361	16	19	12	8	14	16	14	17	-999	0	-999	1	1	-999	-999	45	52.5	70	65	70	55	70	65	55	55	70
Z008E0042	4.355	-999	-999	23.075	-999	19.88	88	106	80	63	90	79	78	95	75	-999	86	104	80	63	88	79	78	93	74	-999	-999	38.23	-999	154.605	-999	34	-999	14	-999	111.24	10	5	12	6	9	7	9	-999	747	-999	763	769	792	787	871	861	968	141	-999	92	-999	88	89	98	87	89	76	94	257	251	273	211	282	208	272	196	75	85	65	-999	65	-999	-999	22	12	-999	3	5.5	0	-999	-999	2	3	2	2	1	2	2	-999	20	24	11	17	7	1	7	6	-999	-999	264	242	261	206	358	348	370	309	395	309	373	297	14	15	15	14	15	12	12	19	-999	0	-999	1	0	-999	-999	112.5	75	75	70	65	65	80	70	75	70	70
Z008E0043	5.09	-999	-999	26.985	-999	20.9	90	97	78	55	89	75	73	93	68	-999	84	94	76	54	85	73	73	87	67	-999	-999	43.85	-999	159.795	-999	35	-999	15	-999	119.22	13	10	10	4	9	14	6	-999	703	927	985	742	959	813	1049	911	825	144	100	97	104	96	90	90	82	98	94	106	237	243	242	190	238	205	234	275	60	75	65	-999	70	-999	-999	19	10	11.25	3	6.5	0	-999	-999	2	3	2	2	1	3	2	-999	28	32	11	14	6	8	13	7	-999	-999	240	256	229	216	343	348	343	276	311	297	326	381	8	11	10	7	5	10	10	12	-999	0	-999	1	0	-999	-999	127.5	70	75	80	65	55	75	65	75	80	65
Z008E0044	4.65	-999	-999	22.525	-999	10.5	94	-999	78	63	93	80	78	97	74	76	92	-999	76	63	86	75	78	93	70	71	-999	37.715	-999	120.725	-999	24.5	-999	13	-999	76.95	17	11	11	4	5	7	9	-999	706	821	836	-999	777	920	887	1003	925	152	-999	94	85	82	74	88	91	78	91	91	301	309	272	278	-999	255	333	286	75	75	75	-999	70	-999	-999	34	2	3	2	5.5	0	-999	-999	-999	1	2	0	-999	2	2	-999	14	18	11	10	7	2	14	6	-999	13	254	264	-999	186	402	422	363	364	-999	391	419	428	6	8	9	6	-999	11	13	10	-999	0	-999	1	0	-999	-999	92.5	75	85	80	75	50	80	-999	80	80	75
Z008E0045	4.465	-999	-999	24.685	-999	10.53	90	119	83	65	93	75	82	95	75	-999	88	119	82	65	93	76	82	97	76	-999	-999	35.025	-999	110.57	-999	19	-999	13	-999	36.88	13	1	11	5	-999	8	4	-999	863	-999	850	722	804	764	755	883	864	158	102	89	-999	89	65	94	94	87	94	115	263	-999	259	175	254	218	278	287	75	-999	60	-999	70	-999	-999	-999	8	-999	-999	5	0	-999	-999	2	3	1	-999	0	2	2	-999	15	18	7	12	7	3	11	5	-999	-999	276	-999	230	206	359	-999	371	254	352	308	367	352	9	-999	7	6	8	8	8	5	-999	0	-999	1	0	-999	-999	45	-999	75	-999	-999	55	-999	65	80	-999	70
Z008E0046	3.2	-999	-999	23.44	-999	13.55	92	-999	82	55	102	77	76	94	72	-999	86	106	78	53	99	75	75	89	71	-999	-999	36.82	-999	92.16	-999	22	-999	15	-999	51.95	14	7	11	6	-999	15	6	-999	510	591	636	644	695	757	672	613	616	105	-999	83	66	66	78	70	69	77	67	69	162	156	176	164	210	146	180	175	60	80	60	-999	-999	-999	-999	-999	10	-999	3	6	0	-999	-999	1	3	4	3	1	3	3	-999	20	26	24	22	5	9	15	6	-999	-999	166	160	146	166	256	226	268	256	278	248	286	256	14	15	13	12	10	20	13	21	-999	0	-999	0	0	-999	-999	47.5	-999	50	30	45	55	40	-999	55	55	65
Z008E0047	5.405	-999	-999	30.085	-999	25.82	83	98	75	58	93	73	73	85	68	73	82	98	75	57	91	73	73	87	67	73	-999	45.285	-999	154.405	-999	26.5	-999	15	-999	107.03	18	10	12	5	8	8	6	-999	891	872	970	796	849	-999	800	968	1026	156	95	57	81	88	76	106	-999	76	81	97	303	257	280	205	238	235	264	227	50	80	65	-999	70	-999	-999	22	25	11.25	3	5.5	0	-999	-999	1	3	3	2	2	3	3	-999	20	24	14	11	8	5	14	6	-999	13	234	262	205	225	411	375	389	317	302	368	379	355	8	10	9	9	7	10	10	12	-999	0	-999	0	1	-999	-999	105	-999	85	80	80	75	80	-999	80	80	80
Z008E0048	-999	-999	-999	-999	-999	-999	88	103	77	67	91	74	74	92	74	-999	84	102	76	66	91	74	74	94	72	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	9	4	7	5	9	3	6	-999	815	848	834	800	722	827	835	1009	872	132	89	81	82	87	73	82	74	89	64	96	290	217	221	197	278	215	267	247	75	75	70	-999	65	-999	-999	-999	15	-999	3	5.666666667	0	-999	-999	2	3	2	3	1	3	2	-999	20	23	9	12	7	2	13	7	-999	-999	318	266	200	218	409	327	308	288	399	328	407	343	10	10	9	7	8	9	10	9	-999	0	-999	0	0	-999	-999	-999	-999	80	75	80	75	80	75	85	80	75
Z008E0049	3.945	-999	-999	22.28	-999	19.005	94	104	81	66	101	77	78	101	81	-999	94	99	78	65	98	75	76	96	78	-999	-999	35.075	-999	149.99	-999	32	-999	14	-999	76.655	8	8	11	6	8	2	4	-999	574	791	767	609.5	760	727	721	791	835	131	-999	68	84	74	67.5	76	77	74	73	88	133	197	195	166	238	130	231	195	60	65	65	-999	55	-999	-999	21	10	16.25	2	4	0	-999	-999	2	3	1	3	1	1	4	-999	22	47	8	19	5	6	10	6	-999	-999	198	218	185	144	250	332	275	259	339	232	353	327	7	10	13	10	8	8	8	12	-999	0	-999	1	1	-999	-999	72.5	-999	60	50	55	55	-999	-999	65	50	65
Z008E0050	4.6	-999	-999	19.545	-999	8.9	-999	121	87	64	107	90	87	-999	82	-999	-999	121	84	63	103	87	87	-999	80	-999	-999	32.34	-999	134.16	-999	15	-999	10.5	-999	30.85	8	3	8	5	-999	9	8	-999	891	1023	-999	-999	931	866	828	-999	1074	164	-999	96	96	-999	-999	94	71	99	-999	109	215	226	-999	145	218	198	166	236	60	75	75	-999	60	-999	-999	-999	5	-999	2	4.5	0	-999	-999	2	2	2	3	2	2	3	-999	13	25	12	18	6	8	13	6	-999	-999	272	288	246	216	366	400	-999	256	358	321	342	381	18	27	-999	14	18	16	17	19	-999	0	-999	0	0	-999	-999	32.5	-999	70	70	-999	45	75	-999	-999	-999	75
Z008E0051	4.425	-999	-999	25.35	-999	14.085	90	105	79	61	92	77	78	93	74	-999	88	103.5	77	60	91	77	76	92	72	-999	-999	43.135	-999	115.11	-999	23	-999	15.5	-999	69.67	16	12	11	6	4	10	7	-999	672	814	859	767	883	760	859	907	908	-999	-999	94	93	89	79	87	80	96	96	108	198	219	206	175	202	155	234	198	45	75	60	-999	60	-999	-999	12	10	22.5	3	5.5	0	-999	232.5	1	2	1	1	0	1	1	-999	22	34	12	14	7	9	12	5	-999	-999	164	220	180	158	298	319	318	291	313	258	336	309	10	10	9	9	8	10	8	6	-999	0	-999	1	1	-999	-999	77.5	-999	60	55	50	45	70	-999	60	70	60
Z008E0052	4.155	-999	-999	24.545	-999	11.61	-999	105	80	61	90	77	79	95	77	-999	92	103	78	61	90	77	77	93	76	-999	-999	41.525	-999	110.245	-999	26	-999	16	-999	83.31	9	3	7	2	-999	2	4	-999	737	871	816	-999	833	821	893	848	957	129	82	79	102	72	-999	86	88	78	87	88	258	275	276	-999	216	228	272	256	55	70	60	-999	70	-999	-999	-999	10	-999	2	4.5	0	-999	-999	2	3	3	2	2	2	2	-999	15	23	16	15	5	4	14	6	-999	-999	236	196	164	160	337	337	325	-999	325	297	341	336	15	10	11	-999	13	6	11	12	1	0	-999	0	1	-999	-999	90	75	65	75	60	55	75	75	75	75	75
Z008E0053	-999	-999	-999	18.62	-999	5.605	90	105	83	59	88	78	75	95	75	-999	88	105	80	56	87	75	77	94	72	-999	-999	-999	-999	75.655	-999	-999	-999	-999	-999	-999	9	8	12	6	-999	5	9	-999	723	739	681	727	615	802	874	844	843	130	82	86	61	84	76	60	82	74	68	97	248	246	233	197	196	207	294	219	55	75	70	-999	67.5	-999	-999	-999	8	0.75	2	5	0	-999	140	1	3	2	2	0	3	3	-999	19	20	10	15	6	7	11	7	-999	-999	240	206	165	210	311	314	308	291	264	319	394	328	11	8	7	8	8	12	6	10	-999	0	-999	0	0	-999	-999	-999	85	80	70	70	55	70	50	80	80	75
Z008E0054	4.45	-999	-999	24.525	-999	15.9	-999	117	82	61	97	84	82	102	77	-999	94	117	81	60	94	80	80	99	76	-999	-999	40.345	-999	129.57	-999	24	-999	14	-999	74.4	9	9	11	4	-999	10	5	-999	775	958	866	783	783	883	799	757	831	150	107	109	121	104	91	106	106	97	104	110	288	301	295	239	252	218	283	331	55	70	75	-999	60	-999	-999	-999	20	-999	4	5.5	1	-999	-999	-999	4	1	2	1	2	2	-999	24	24	10	18	6	6	10	7	-999	-999	272	264	220	188	371	404	384	317	333	323	377	419	16	17	11	9	8	12	10	22	-999	0	-999	1	0	-999	-999	90	-999	80	70	70	55	70	25	80	75	80
Z008E0055	3.515	-999	-999	30.87	-999	23.565	92	105	81	63	99	80	79	97	73	79	88	104	80	63	92	78	78	96	72	78	-999	44.445	-999	129.715	-999	28	-999	19	-999	100.66	13	6	9	2	-999	9	6	-999	618	692	781	750	774	612	671	791	863	143	-999	90	93	95	111	93	78	91	92	101	284	267	283	242	290	172	311	276	55	65	65	-999	-999	-999	-999	-999	15	-999	2	5.333333333	0	-999	160	1	3	3	2	2	2	3	-999	22	38	17	25	6	8	8	7	-999	12	220	230	208	114	408	357	374	353	371	287	427	406	10	9	12	14	10	9	13	13	-999	0	-999	0	0	-999	-999	97.5	-999	85	70	75	55	80	-999	75	75	80
Z008E0056	4.465	-999	-999	27.275	-999	16.005	88	106	80	58	102	77	78	96	75	-999	86	106	78	56	98	77	78	93	72	-999	-999	38.435	-999	121.49	-999	20	-999	15	-999	62.14	15	9	11	6	6	9	5	-999	948	948	923	768	-999	908	936	898	908	149	-999	82	93	87	81	99	85	94	79	108	287	279	327	-999	236	201	246	284	70	85	70	-999	70	-999	-999	20	10	-999	2	5	0	-999	-999	2	3	3	1	0	2	1	-999	30.5	24	23.5	17	7	6	15	7	-999	-999	236	240	153	210	434	389	420	-999	320	319	366	410	16	17	13	-999	13	21	16	16	-999	0	-999	0	0	-999	-999	65	-999	85	80	80	65	70	-999	75	75	80
Z008E0057	4.33	-999	-999	24.755	-999	17.77	90	103	76	62	89	80	77	97	76	-999	90	103	76	61	87	78	78	94	73	-999	-999	39.155	-999	149.38	-999	32	-999	13	-999	78.33	13	7	11	6	5	10	3	-999	774	731	824	733	759	740	708	780	868	121	87	91	80	70	80	83	81	85	94	92	197	220	215	150	212	170	251	177	65	75	70	-999	60	-999	-999	22	5	14.25	2	6	0	-999	-999	-999	3	4	3	3	3	3	-999	20	30	11	15	7	4	11	7	-999	-999	222	228	220	162	339	317	342	258	351	276	355	299	14	9	8	9	10	16	13	15	1	0	-999	1	1	-999	-999	82.5	75	50	50	55	50	75	60	65	60	55
Z008E0058	3.56	-999	-999	28.51	-999	13.38	90	99	81	63	90	77	79	93	73	-999	90	98	78	62	89	75	77	90	71	-999	-999	42.345	-999	131.7	-999	32.5	-999	17	-999	86.435	7	10	10	6	9	9	7	-999	736	890	921	854	901	871	906	954	919	128	91	94	97	86	81	90	81	95	80	111	289	248	265	138	235	201	281	263	65	65	65	-999	65	-999	-999	18	10	20	2	5.5	0	-999	-999	2	4	1	2	0	1	1	-999	25	27	24	18	6	4	15	5	-999	-999	208	220	177	153	382	339	350	236	345	296	348	322	9	9	9	6	10	8	9	9	1	0	-999	1	0	-999	-999	100	80	75	75	80	60	75	80	70	80	80
Z008E0059	4.8	-999	-999	27.25	-999	14.7	84	-999	73	62	87	74	75	91	72	-999	82	-999	72	61	85	75	75	90	70	-999	-999	36.72	-999	172.84	-999	31	-999	14.5	-999	91.55	15	1	8	6	-999	13	9	-999	784	727	860	748	815	-999	854	758	890	163	89	85	92	85	78	81	-999	87	81	91	246	-999	-999	183	279	203	277	308	50	85	65	-999	65	-999	-999	-999	22	-999	2	5.5	0	-999	-999	3	2	2	-999	0	2	2	-999	16	26	13	12	7	8	13	7	-999	-999	254	-999	215	218	369	-999	-999	276	336	297	400	421	8	-999	-999	6	6	11	8	9	-999	0	-999	1	1	-999	-999	95	85	80	-999	70	75	80	-999	70	80	80
Z008E0060	5.3	-999	-999	19.79	-999	7.3	86	98	76	56	91	75	74	94	72	-999	86	98	76	56	90	75	77	93	71	-999	-999	32.825	-999	120.07	-999	18	-999	10	-999	36.2	14	9	11	6	8	8	6	-999	644	822	841	746.5	832	807	910	976	954	154	71	73	71	83	72.5	89	77	86	78	93	216	233	214	194	180	193	247	217	55	40	55	-999	60	-999	-999	20	30	-999	4	5.5	2	-999	-999	1	3	3	3	3	3	1	-999	14	25	12	15	7	8	13	7	-999	-999	242	258	230	209	370	382	316	291	293	307	395	312	17	16	10	8	9	17	13	10	-999	1	-999	0	0	-999	-999	45	85	65	50	40	20	65	75	45	50	50
Z008E0061	3.71	-999	-999	26.095	-999	10.945	94	105	79	64	93	78	77	97	77	77	94	105	79	64	91	77	77	97	76	77	-999	41.95	-999	124.345	-999	28	-999	18.5	-999	78.75	11	10	12	2	3	13	6	-999	654	846	775	-999	745	575	657	777	980	-999	92	101	106	88	102.5	93	88	86	94	89	220	219	231	200	210	201	260	212	70	60	70	-999	70	-999	-999	12	5	10	2	4	0	-999	-999	1	1	2	2	1	2	1	-999	24	36	17	25	8	5	10	7	-999	14	204	240	197	168	319	291	278	292	269	268	323	310	7	7	5	9	6	9	8	10	-999	0	-999	1	0	-999	-999	92.5	-999	80	75	75	65	80	-999	85	-999	80
Z008E0062	3.215	-999	-999	20.58	-999	9.95	92	-999	82	63	97	80	86	-999	78	-999	92	107	82	63	94	78	80	98	78	-999	-999	35.585	-999	122.74	-999	30.5	-999	16	-999	69.195	16	10	11	6	-999	4	7	-999	916	1008	879	580	908	997	864	-999	1017	153	84	-999	82	83	46	71	76	72	-999	88	239	249	258	185	235	234	275	206	60	85	70	-999	55	-999	-999	-999	10	-999	3	6	0	-999	-999	2	2	2	3	3	4	3	-999	24	32	10	9	7	4	13	7	-999	-999	256	266	175	208	351	376	369	291	360	376	444	334	16	13	11	7	17	13	14	23	-999	0	-999	0	0	-999	-999	80	-999	65	80	70	55	80	75	80	-999	75
Z008E0063	5.47	-999	-999	27.805	-999	20.395	88	102	78	58	86	75	75	96	71	-999	86	99	76	57	83	75	74	90	67	-999	-999	38.39	-999	142.62	-999	25	-999	13	-999	91.195	12	6	11	6	-999	8	8	-999	665	767	802	785	858	807	857	943	887	123	86	85	95	92	81	89	92	85	63	104	177	199	266	168	229	139	209	225	75	70	75	-999	70	-999	-999	-999	15	-999	3	5	0	-999	-999	1	3	3	2	2	2	3	-999	21	36	11	21	8	6	11	5	-999	-999	208	238	228	196	316	341	379	287	38	275	331	380	14	15	11	10	16	17	11	16	-999	0	-999	1	0	-999	-999	87.5	-999	70	75	75	70	75	75	75	70	70
